번호,제목,내용,지역,지원분야대,사업번호,지원기간,지원대상,업종,조회수,활성화,등록일자,접수기관_담당부서,기업형태,접수기관명,접수팀,접수기관_전화번호,접수기관_홈페이지URL,접수기관_담당자명,접수기관_담당자e-mail
581,수출연계형 자동차부품 기술개발 사업(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">국내 자동차 부품기업 대상 수출 연계형 자동차부품 기술개발 및 해외마케팅 지원을 통해, 내수 중심 부품기업의 글로벌 기술 경쟁력 강화 및 글로벌 밸류 체인 확대 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 수출역량 강화가 필요한 중소ㆍ중견기업</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 국내 자동차부품기업의 글로벌 경쟁력 강화를 위한 기술개발 및 마케팅 지원<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@수출@혼합(단독+공동)@해외진출,PBLN_000000000048398,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1313,1,2020-01-03 11:41,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3516,http://www.kiat.re.kr/,사업담당자,NULL
582,지역혁신클러스터육성(R&D)(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">지역여건에 맞는 지역주도 성장을 위하여 지역별 특성화된 혁신자원과 역량 등을 활용하여 지역의 자립적 성장체계를 구축하고 지역 간 균형발전 촉진을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구소, 지역혁신기관 등이 참여하는 컨소시엄<br /></p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 지원규모 750.88억원 (신규 133.5억원, 계속 617.38억원)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048390,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",2329,1,2020-01-03 11:39,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3708,http://www.kiat.re.kr/,사업담당자,NULL
583,새만금지역 상용차 자율주행 테스트베드 구축(R&D)(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">상용차의 자율(군집)주행 기술의 실증과 연계한 기술개발 및 상용화 촉진을 위해 상용차 자율(군집)주행 특성에 부합한 고속주행ㆍ자율(군집)주행 실증이 가능한 테스트베드를 구축해 드리는 사업입니다.<br />&nbsp;<br />☞ 새만금 지역내 자율주행 실증이 가능한 테스트 베드를 보유한 기관&nbsp; </p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 정부출연금 200억원(‘20년 39.5억원 이내)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048397,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1044,1,2020-01-02 18:07,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3292,http://www.kiat.re.kr/,사업담당자,NULL
584,5G기반 첨단제조로봇 실증 기반 구축(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">첨단 제조 로봇의 시장 조기 진입과 S/W 안전성 체계 구축을 통한 5G 기반의 첨단 제조 로봇 산업을 육성해 드리는 사업입니다.<br />&nbsp;<br />☞ 첨단제조로봇 산업 실증 서비스 분야</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 정부출연금 270억원(‘20년 37.2억원)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048394,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1081,1,2020-01-02 18:01,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3294,http://www.kiat.re.kr/,사업담당자,NULL
585,가스 발전/스팀생산 설비 연소중 CO2 포집ㆍ활용 기술개발(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">온실가스 감축, 대기질 개선, 산업경쟁력 강화를 위한 가스발전 및 가스보일러 사용 확대에 대응이 가능한 친환경 저비용 CO2 포집ㆍ활용 기술 확보를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 정부출연(연), 국공립연구기관, 전문생산기술연구소, 연구조합 등</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 23.6억원 (신규 22.8억원(기평비 0.8억원 포함)) 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@기술사업화/이전/지도@디자인/상품화/사업화,PBLN_000000000048439,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",793,1,2020-01-02 17:58,산업통상자원부,중소기업@중견기업,한국에너지기술평가원,사업담당부서,02-3469-8346,https://www.ketep.re.kr/,사업담당자,NULL
586,에너지국제공동연구사업(2020년 산업기술혁신사업 통합 시행계획 공고),"선도기술 조기 확보와 국내 에너지기술의 해외시장 진출을 위한 선진국, 개도국과의 공동연구를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구기관, 연구조합, 사업자단체 및 산업기술혁신촉진법 제11조 기술개발사업 실시기관 등<br />&nbsp;<br />☞ 지원규모 187억원 (신규 35억원)",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000048464,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",857,1,2020-01-02 17:55,산업통상자원부,중소기업@중견기업,한국에너지기술평가원,사업담당부서,02-3469-8432,https://www.ketep.re.kr/,사업담당자,NULL
587,에너지기술 수용성 제고 및 사업화 촉진(2020년 산업기술혁신사업 통합 시행계획 공고),"에너지기술의 사용자 수용성 향상을 통한 기술의 활용 및 보급ㆍ확산으로 에너지R&amp;D의 사업화 촉진을 도모해 드리는 사업입니다.<br />&nbsp;<br />☞ 산ㆍ학ㆍ연 기관과 사업화 전문기관(컨설팅사 포함) 및 협회, 시민사회조직, 사회적 기업 및 소셜벤처 등<br />&nbsp;<br />☞ 과제당 1~4억원 지원",서울@부산@대구@인천@광주@대전@세종@경기@강원@충북@충남@전북@전남@울산@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000048443,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",803,1,2020-01-02 17:53,산업통상자원부,중소기업@중견기업,한국에너지기술평가원,사업담당부서,02-3469-8422,https://www.ketep.re.kr/,사업담당자,NULL
588,5G기반 자율주행 융합기술 실증 플랫폼(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">해외 의존도가 높은 자율주행자동차 핵심부품 국산화 개발지원 및 상용화 전주기 지원체계 마련을 통한 국내기술 자립화 및 조기시장진출 달성을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 자율주행 실증이 가능한 테스트 베드를 보유한 기관 </p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 정부출연금 100억원(‘20년 39억원 이내)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048415,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",927,1,2020-01-02 17:46,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3292,http://www.kiat.re.kr/,사업담당자,NULL
589,협업지능기반로봇플러스 경쟁력지원사업(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">중소기업의 제조 생산성 개선 및 스마트 제조기반 마련을 위해 실증테스트베드, 성능평가 및 인증, 협업지능 운용기술 등을 지원드리는 사업입니다.<br />&nbsp;<br />☞ 제조 생산성 개선 및 스마트 제조기반구축이 가능한 기계로봇 분야</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 총 정부출연금 251억원(‘20년 24억원)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000048434,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",982,1,2020-01-02 17:45,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3294,http://www.kiat.re.kr/,사업담당자,NULL
590,지역혁신클러스터육성(R&D)(세종)(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">지역여건에 맞는 지역주도 성장을 위하여&nbsp;세종지역에 특성화된 혁신자원과 역량 등을 활용하여 지역의 자립적 성장체계를 구축하고 지역 간 균형발전 촉진을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 기업, 대학, 연구소, 지역혁신기관 등이 참여하는 컨소시엄<br /></p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 지원규모 44.5억원 (신규 14.5억원, 계속 30억원)<br /></p>",세종,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048409,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1003,1,2020-01-02 17:44,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3708,http://www.kiat.re.kr/,사업담당자,NULL
591,수소버스용 충전소 실증사업(R&D)(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">다양한 형태(350+700기압 or 700+700기압)의 충전소를 구축ㆍ운영하여 한국형 수소충전소 표준 확립 및 부품 국산화율 제고를 위한 실증을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 연구소, 대학 등 비영리 기관, 수소충전소 등 관련 부품 업체 및 비영리 기관</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 48.7억원(과제지원비 46.8억원, 전담기관 기평비 1.9억원)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@기술@혼합(단독+공동)@기술사업화/이전/지도,PBLN_000000000048428,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",865,1,2020-01-02 17:41,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3786,http://www.kiat.re.kr/,사업담당자,NULL
592,디자인사업화기반구축사업(2020년 산업기술혁신사업 통합 시행계획 공고),"<p style=""margin: 0px"">지역디자인의 사업화지원 및 기반강화를 통한 지역경제 활력 제고를 위해 사업화 지원 및 기반강화를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 산업부 지정의 지역디자인센터를 주관기관으로 선정하여 지원 </p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 지원규모 10억원(과제지원비 9.7억원)<br /></p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@혼합(단독+공동)@디자인/상품화/사업화,PBLN_000000000048418,추후 공지,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1495,1,2020-01-02 17:36,산업통상자원부,중소기업@중견기업,한국산업기술진흥원,사업담당부서,02-6009-3781,http://www.kiat.re.kr/,사업담당자,NULL
593,2020년 고용장려금 지원제도 안내,"2020년 고용장려금 지원제도 주요내용을 안내합니다. <br />&nbsp;<br />☞ 신규 근로자 고용창출 사업주, 기존 근로자 고용안정&nbsp;사업주, 청년근로자 등 대상 <br />&nbsp;<br />☞ 고용창출장려금, 고용안정장려금, 고용유지지원금, 청년ㆍ장년고용장려금, 고용환경개선장려금, 지역고용촉진지원금 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,인력@인력@인력@고용유지@고용환경개선@작업환경개선,PBLN_000000000048492,세부사업별 상이,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",20399,1,2020-01-02 17:35,고용노동부,중소기업@중견기업,직접수행,소재지 관할 고용센터 기업지원부서,국번없이 1350,http://www.moel.go.kr/,사업담당자,NULL
594,농공상 융합형 중소기업의 시설현대화 및 운영자금(농공상융합형중소기업지원자금),"농공상 융합형 중소기업을 대상으로 저장ㆍ가공ㆍ부대시설의 신축ㆍ증축ㆍ개보수 및 물류장비 구입을 위해 소요되는 자금 및 원료구매ㆍ저장ㆍ가공 운영자금을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 농림축산식품부, 중소벤처기업부가 공동 선정한 농공상 융합형 중소기업으로 농수축산식품 취급업체&nbsp; <br />&nbsp;<br />☞ 운영 20억원, 시설 20억원 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@경영@융자@시설/입지지원,PBLN_000000000048490,20191231 ~ 20200403,중소기업,"농업, 임업 및 어업(01~03)@제조업(10~34)",1261,1,2020-01-02 17:20,농림축산식품부,중소기업,한국농수산식품유통공사,소재지 관할 지역본부,하단의 문의처 참조,http://www.at.or.kr/,사업담당자,NULL
595,근로자 생활안정자금 융자(2020년 근로복지공단 근로자 융자 사업 공고),"근로복지공단에서 특수형태 근로종사자를 대상으로 생활안정자금(임금감소생계비, 임금체불생계비, 부모 요양비 등) 을 융자 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 근로복지기본법 제2조제1호에 따른 근로자 및 같은 법 제95조의2에 따른 특수형태근로종사자 대상<br />&nbsp;<br />☞ 의료비, 장례비, 혼례비, 임금감소 및 임금체불 생계비 등 융자 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@인력@융자@고용유지,PBLN_000000000048447,연중 수시,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",3169,1,2020-01-02 17:19,고용노동부,중소기업@중견기업@소상공인@전통시장@1인기업@창업기업@예비창업자,근로복지공단,사업담당부서,(대표번호) 1588-0075,https://www.workdream.net,사업담당자,NULL
596,직업훈련 생계비(2020년 근로복지공단 근로자 융자 사업 공고),"비정규직 근로자 및 전직실업자의 재기를 위해 직업훈련 생계비를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 비정규직 근로자 및 전직실업자 대상<br />&nbsp;<br />☞ 월별 대부한도액 50만원~200만원, 1인당 1천만원이내",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전남@경북@경남@제주@전북,금융@인력@융자@교육/훈련/연수,PBLN_000000000048448,연중 수시,중소기업,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",1475,1,2020-01-02 17:18,고용노동부,중소기업@중견기업@소상공인@전통시장@1인기업@창업기업@예비창업자,근로복지공단,사업담당부서,(대표번호) 1588-0075,https://www.workdream.net,사업담당자,NULL
597,2020년 농식품 정책자금 융자지원 안내,"국내 농업인들의 소득 증진과 농식품업체의 경쟁력을 강화하기 위해 정책자금을 융자 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 농산물을 수매ㆍ가공ㆍ유통ㆍ수출하는 사업자(식품 수출사업자 포함) 또는 해당분야 사업 준비 중인 사업자<br />&nbsp;<br />☞ 농식품글로벌육성지원자금, 식품가공원료매입자금, 노지채소수급안정자금 등 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,금융@융자,PBLN_000000000048481,세부사업별 상이,중소기업,"농업, 임업 및 어업(01~03)@제조업(10~34)",1901,1,2020-01-02 17:08,농림축산식품부,중소기업@중견기업,한국농수산식품유통공사,소재지 관할 지역본부,하단의 문의처 참조,http://www.at.or.kr/,사업담당자,NULL
